name,date,title,review,rating,entity,review_history
Bar Alisa Amiel,2019-12-30T17:40:16Z,They lost my order before newyear eve.,They lost my order before newyear eve.. they say i swear but i didnt.. i just want them to ship me again the prdoucts with fast shipping on they bill.. but one product was out of stock so they cant ship the rest??? The costumer service lady was really not nice. Asos have a really bad costumer service...,1,ASOS,1
Chinenye Egbe,2019-12-30T17:20:09Z,Horrid they did not deliver my item…,Horrid they did not deliver my item after over a month and they offered a silly coupon of £4.80 on an order that would cost over £25 to replace,1,ASOS,1
Menna Badawi,2019-12-30T16:04:06Z,never shopping with asos again.,this is my first and last time shopping with asos. i ordered a dress on the 28th of november and it was said to arrive by the 20th of december. it was now the 30th and no information is being provided to me by customer service as to where my package is. they expect me to wait till the 21st of january to get a refund. i no longer have use for the dress. Also the fact that the tracking that is giving is only for “asos shipping reference” (terms used by asos customer service employee) is ridiculous. i have no intention of paying for return shipping. i have never been so frustrated by lack of answers by several customer service representatives.,1,ASOS,1
Brennah Nicoll,2019-12-30T16:01:14Z,Customer service is awful,If I could give customer service no stars I would!!!! I was waiting for 2 hours for someone to reply to my problem and once they did they did absolutely bugger all!! Not okay!!!,1,ASOS,1
Matt,2019-12-31T10:36:26Z,Paid for next day delivery for a parcel…,"Paid for next day delivery for a parcel to arrive on the 21st December. Was told 3 times it would arrive on 3 separate dates, still no parcel. Spoke to about 4 different people  via the ASOS chat (all very friendly) but all said different things, turned out being a waste of time. Thanks Asos you ruined Christmas.",1,ASOS,1
Jochem Westerbeek,2019-12-31T08:41:40Z,Worst cusfomer service ever,Been waiting for 20 days now for one of my orders and after 10 e-mails I get a response with a tracking code so I can track my package as if I'm not capable of tracking a f****** package.,1,ASOS,1
Aviram Edri,2020-01-01T10:41:57Z,Waiting for an order over a month,"Waiting for an order over a month, 3 times I contacted you each time assuring me they would come back with a reply, I paid the order and I don't have the pants,
Whenever the same answers, I'm really discouraged by the poor service.",1,ASOS,1
M. McDougall,2020-01-02T09:51:08Z,Item lost in the post!!!!,"Ordered a bikini for my holiday with next day delivery. Bikini did not arrive so after a week contacted Asos to find out where it was, was told to wait a further week! Still no bikini, when I contacted them again I was told it was deemed as lost & offered a replacement or refund! I really wanted the item for my holidays! Very poor service Asos!",1,ASOS,1
Sophie Coan,2020-01-02T09:16:15Z,Wanted my complaint escalated to a…,Wanted my complaint escalated to a manager to be shunned. I have a faulty pair of shoes that I would like replacing and the operator was not willing to help. Someone really needs to contact me about this,1,ASOS,1
Melissa,2020-01-02T09:03:59Z,"WORST CUSTOMER SERVICE Item never sent, I’ve been ignored, no refund,","Placed order December 11th. Received shipment confirmation following day. Tracking has said pending since. It’s now January 1st. Have emailed customer service over 10 times now, only got 2 replies which I responded to then was ignored and reached out on twitter. The rep on Twitter told me I would receive a confirmation email within 72 hours on Saturday and the time has passed and it never came. Contacted another rep through chat saying she would process a refund and still nothing. This has been the worst customer service experience I’ve ever had and I strongly recommend you don’t support this company because they could end up wasting hours of your time struggling to try to get something you paid your hard earned money for. Also they just leave the chat before resolving anything. Most customer service will ask if there is anything else they can do before they just sign off the chat. 3 reps did this.",1,ASOS,1
Emma,2020-01-01T00:37:09Z,AVOID ASOS,Asos do not send all the items out that you order. They then suspend your account when you ask for the items or refund and you lose so much money. Currently waiting for over 1 hundred pounds back and it’s been 6 weeks. I kept a pair of sandals and the strap has snapped and still being ignored. I would strongly recommend avoiding ASOS.,1,ASOS,1
Kirsty,2020-01-02T21:51:53Z,Be careful of the new night time delivery service when ordering next day,"It is a shame I keep going to back to asos as sometimes it’s never easy. Their support is very scripted and never really helpful (I don’t blame the staff I blame the business and the training). My current review is more about being careful when ordering on a next day service (I pay for the premier delivery service). Asos have started using a night time only service so between 6-10pm, this obviously doesn’t work at a business address.  If I’d have known I wouldn’t have placed my order at that address. There is no option to re-route and I now have to wait until they have attempted delivery multiple times before the order is returned to Asos and then need to wait for a refund.",1,ASOS,1
customer,2020-01-02T21:17:32Z,My order was due to arrive on the 29th…,My order was due to arrive on the 29th of December. It is clearly lost and they are refusing to help me saying I have to wait til the 4th of January until they will help me! I pay for premium next day delivery and this is not acceptable. I ordered the items in good faith as I needed them for this week and one item was for a present and we are now a day after the birthday. This is really not acceptable and if I would have known I would have used another more reliable supplier. It's also insane that they are making me wait over a week from when my items should have arrived until they will help me.,1,ASOS,1
